index,cbo,cargo,idPost
164,342405,Agente de Estação (Ferrovia e Metro),7698
165,783105,Agente de Estação (manobras),26597
166,342605,Agente de Estação Portuária,19195
169,391205,Agente de Inspeção (qualidade),20061
170,352205,Agente de Inspeção de Pesca,19331
171,351905,Agente de Inteligência,7780
172,517110,Agente de Investigação de Incêndio,21213
173,351805,Agente de Investigação Privada,19303
174,215105,Agente de Manobra e Docagem,6206
175,914305,Agente de Manutenção de Veículos Ferroviários,28441
176,411050,Agente de Microcrédito,8090
177,411050,Agente de Microfinanças,20235
178,141605,Agente de Navio - no Transporte Marítimo,14973
180,421120,Agente de Passagens,20447
181,421120,Agente de Passagens Aéreas,20449
182,783105,Agente de Pátio,10086
183,342405,Agente de Pátio e Terminais (ferrovia e Metrô),19167
184,424105,Agente de Pesquisa,20629
185,517415,Agente de Portaria,21321
186,517305,Agente de Proteção de Aeroporto,8456
187,342550,Agente de Proteção de Aviação Civil,7720
188,515310,Agente de Proteção Social,21065
189,515310,Agente de Proteção Social de Rua,21067
190,351315,Agente de Recrutamento e Seleção,7736
191,421120,Agente de Reserva de Passagens Aéreas,20451
192,421120,Agente de Reserva de Passagens Rodoviárias,20453
193,354810,Agente de Reservas,19413
194,352210,Agente de Saneamento,19351
195,515105,Agente de Saúde,20987
197,517310,Agente de Segurança,8458
199,517315,Agente de Segurança Penitenciaria,8460
200,515325,Agente de Segurança Socioeducativa,21075
203,517220,Agente de Transito,8454
204,342120,Agente de Transporte,19107
205,517220,Agente de Transporte e Trânsito,21229
206,421120,Agente de Venda de Passagens,20455
207,354120,Agente de Vendas de Serviços,7820
208,354815,Agente de Viagem,7856
209,951320,Agente de Vistoria de Alarmes,28649
210,515325,Agente Educacional,21077
211,334110,Agente Educador,19065
212,352310,Agente Fiscal de Qualidade,7790
213,352315,Agente Fiscal Metrológico,7792
214,352320,Agente Fiscal Têxtil,7794
215,254505,Agente Fiscal(atividades Urbanas),17155
216,516505,Agente Funerário,8428
217,516505,Agente Funerário - Tanatopraxista,21173
218,515130,Agente Indígena de Saneamento,8356
219,515125,Agente Indígena de Saúde,8354
220,421110,Agente Operacional de Estação,20437
221,517315,Agente Penitenciário,21243
222,253115,Agente Publicitário,7060
223,342310,Agente Rodoviário,19143
224,352210,Agente Sanitarista,19353
225,515310,Agente Social,21069
226,351910,Agente Técnico de Inteligência,7782
227,862205,Agente Técnico de Operação na Captação,28139
228,254505,Agente Vistor,17157
229,621005,Agregado - na Agropecuária,22101
230,612005,Agricultor Familiar Polivalente,21575
231,612110,Agricultor na Produção da Cana-de-açúcar,21617
232,612105,Agricultor na Produção de Arroz,21603
233,612120,Agricultor na Produção de Gramíneas Forrageiras,21637
234,612125,Agricultor na Produção de Milho e Sorgo,21647
235,612005,Agricultor Polivalente,21577
236,612005,Agricultor Polivalente - Conta Própria,21579
237,612005,Agricultor Polivalente - Empregador,21581
238,214805,Agrimensor,15657
239,222110,Agrônomo,15767
240,611005,Agropecuarista,21549
241,203025,Agrostólogo,15237
242,321105,Agrotécnico,18735
243,841705,Aguardenteiro (fabricação),27615
244,722105,Aguilhoeiro,24293
245,513435,Ajudante,20869
246,722215,Ajudante de Acabamento de Fundição,24345
247,848510,Ajudante de Açougueiro (comércio),27891
248,721320,Ajudante de Afiação de Serras,24253
249,721315,Ajudante de Afiador,24235
250,823235,Ajudante de Banhos (vidros),27267
251,623110,Ajudante de Boiadeiro,22673
252,712120,Ajudante de Britador,23603
253,516110,Ajudante de Cabeleireiro,21081
254,732110,Ajudante de Cabista,24985
255,715205,Ajudante de Calceteiro,23737
256,783225,Ajudante de Carga e Descarga de Mercadoria,26651
257,632615,Ajudante de Carvoaria,8904
258,513505,Ajudante de Churrasqueiro,20887
259,772105,Ajudante de Classificador de Madeira,26167
261,513505,Ajudante de Confeiteiro,20889
262,513505,Ajudante de Cozinha,20891
263,632120,Ajudante de Derrubada,22941
264,342205,Ajudante de Despachante Aduaneiro,7688
265,342205,Ajudante de Despachante Alfandegário,19115
266,811615,Ajudante de Destilação de Amônia,26911
268,784105,Ajudante de Embalador,26663
269,783220,Ajudante de Embarque de Carga,26633
270,784105,Ajudante de Encaixotador,26665
