estado,salario
Paraná,"1.649,69"
São Paulo,"1.800,54"
Santa Catarina,"2.125,39"
Minas Gerais,"1.460,75"
Paraíba,"1.271,52"
Pernambuco,"1.276,03"
Bahia,"1.334,50"
Pará,"1.303,34"
Rio Grande do Sul,"1.797,30"
Mato Grosso,"1.890,11"
Sergipe,"1.398,56"
Ceará,"1.900,20"
Rio de Janeiro,"4.004,20"
Rio Grande do Norte,"1.258,50"
Espírito Santo,"1.754,00"
Goiás,"1.787,25"
