estado,salario
Minas Gerais,"2.328,89"
São Paulo,"3.904,16"
Rio de Janeiro,"2.873,77"
Paraná,"2.668,45"
Distrito Federal,"2.817,57"
Rio Grande do Sul,"3.013,33"
