estado,salario
São Paulo,"9.342,32"
Paraná,"9.937,00"
Minas Gerais,"9.755,56"
Santa Catarina,"5.340,67"
Rio de Janeiro,"9.614,00"
Rio Grande do Sul,"10.670,29"
Ceará,"6.481,20"
Bahia,"6.039,00"
Amazonas,"2.804,00"
Espírito Santo,"15.725,33"
