estado,salario
São Paulo,"7.938,59"
Rio de Janeiro,"5.579,59"
Minas Gerais,"3.961,27"
Goiás,"3.631,07"
Paraná,"3.757,00"
Rio Grande do Sul,"2.759,00"
Santa Catarina,"2.723,14"
Mato Grosso,"1.892,86"
Distrito Federal,"6.607,67"
Bahia,"6.785,33"
Mato Grosso do Sul,"1.866,67"
