estado,salario
São Paulo,"2.195,40"
Minas Gerais,"1.624,47"
Santa Catarina,"1.783,91"
Goiás,"2.323,29"
Ceará,"1.408,86"
Paraíba,"1.851,17"
Bahia,"1.608,33"
Rio Grande do Sul,"2.016,00"
Pernambuco,"1.348,00"
Amazonas,"1.901,33"
