estado,salario
São Paulo,"8.108,81"
Rio de Janeiro,"6.748,33"
Distrito Federal,"6.902,40"
Minas Gerais,"6.854,38"
Rio Grande do Sul,"6.131,69"
Espírito Santo,"5.139,44"
Paraná,"6.303,61"
Santa Catarina,"7.177,67"
Pernambuco,"5.757,63"
Ceará,"5.727,07"
Bahia,"6.004,62"
Goiás,"5.240,47"
Amazonas,"3.039,75"
Mato Grosso,"8.532,67"
Rondônia,"3.912,73"
Maranhão,"2.605,50"
Mato Grosso do Sul,"4.226,40"
Pará,"3.197,00"
Rio Grande do Norte,"3.637,20"
Alagoas,"3.983,25"
Paraíba,"6.901,00"
